_id,SITE_ID,DESCRIPTION,SITE_DISTANCE,LONGITUDE,LATITUDE,RSECT_ID,ROAD_NAME,TDIST_START,TDIST_END,GAZETTAL_DIRECTION,HOURS,MON,TUE,WED,THU,FRI,SAT,SUN,WEEKDAY_AVERAGE,WEEKEND_AVERAGE
87,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,14 to 15,65,54,67,63,122,98,80,74,89
88,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,15 to 16,57,49,50,78,64,67,56,59,62
89,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,16 to 17,72,65,60,72,100,73,72,74,73
90,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,17 to 18,43,45,69,55,83,53,46,59,49
91,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,18 to 19,31,36,34,50,87,53,39,47,46
92,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,19 to 20,18,25,24,26,69,44,28,32,36
93,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,20 to 21,13,4,8,9,20,26,12,11,19
94,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,21 to 22,2,1,2,3,4,10,1,2,6
95,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,22 to 23,1,2,2,2,2,6,2,2,4
96,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,23 to 24,1,0,0,1,1,5,1,1,3
97,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,0 to 1,13,25,34,28,27,53,19,26,36
98,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,1 to 2,15,21,21,23,21,19,35,20,27
99,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,2 to 3,21,30,29,21,35,21,22,27,21
100,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,3 to 4,43,53,48,47,46,24,16,47,20
101,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,4 to 5,118,149,138,130,129,53,24,133,38
